"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"rsa_avg_md",-0.505,0.104,0.208,-0.14,0.056,-0.235,0.408,-0.668
"wcn_avg_md",0.515,-0.084,-0.183,-0.161,-0.062,0.233,-0.324,-0.71
"phi_var_md",-0.202,-0.496,-0.591,0.372,-0.068,0.297,0.356,-0.079
"psi_var_md",-0.242,-0.423,0.151,-0.736,-0.152,0.387,-0.025,0.155
"chi1_var_md",-0.326,-0.001,-0.597,-0.277,0.155,-0.476,-0.457,0.02
"rmsf_avg_md",-0.375,0.069,0.167,0.25,0.588,0.488,-0.415,-0.082
"bfca",-0.357,0.069,0.127,0.292,-0.76,0.067,-0.42,-0.086
"desent",-0.077,0.74,-0.388,-0.222,-0.131,0.427,0.207,0.064
"Explained Variance",6.32393745825803,1.66309303119483,0.474070767603139,0.226360875587819,0.0106736179704217,1.16391403646654,2.74837766604574,0.000148006878889571
