"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"rsa_avg_md",-0.388,0.293,-0.233,0.106,-0.548,0.424,-0.429,0.183
"wcn_avg_md",0.401,-0.376,0.137,0.235,0.3,0.297,-0.618,0.251
"phi_var_md",-0.358,-0.547,0.107,0.013,-0.161,-0.122,0.266,0.67
"psi_var_md",-0.354,-0.545,0.068,0.074,-0.198,-0.236,-0.313,-0.612
"chi1_var_md",-0.29,0.188,-0.067,0.864,0.315,-0.147,0.094,0.004
"rmsf_avg_md",-0.428,-0.117,0.087,-0.188,0.463,0.681,0.217,-0.185
"bfca",-0.402,0.248,-0.016,-0.379,0.454,-0.419,-0.455,0.211
"desent",-0.075,0.256,0.948,0.057,-0.158,0.012,-0.045,-0.002
"Explained Variance",0.931629097609026,1.80014083672344,0.0443304296634517,0.211500514202997,0.477078980176046,0.297514913683598,0.0119351356513333,0.124374455750166
